"0125 Ekerö","spring rape",386,493,419,296,217,276,260,292,165,389,141,207,196,362
"0125 Ekerö","winter turnip rape",35,21,179,81,144,57,38,11,28,25,..,11,9,..
"0125 Ekerö","spring turnip rape",322,442,167,133,113,84,113,156,83,56,47,27,28,..
"0125 Ekerö","oil flax",..,..,..,..,..,..,..,..,..,141,41,42,124,108
"0125 Ekerö","horticulture plants",..,..,..,..,..,..,..,..,..,129,86,66,55,36
"0125 Ekerö","other crops",134,203,153,175,145,171,223,244,243,4,32,1,0,9
"0125 Ekerö","energy forest",..,..,..,..,..,..,..,..,..,141,126,121,121,108
"0125 Ekerö","fallow land",303,212,952,763,396,520,341,291,1118,730,685,714,792,815
"0125 Ekerö","other untilled arable land",17,18,16,63,1179,913,797,783,383,80,..,36,31,7
"0125 Ekerö","unspecified arable land",..,..,..,..,..,..,..,..,..,..,170,125,79,31
"0126 Huddinge","total arable land",499,450,525,525,519,490,491,491,482,455,466,402,382,456
"0126 Huddinge","winter wheat",2,1,32,47,..,9,30,..,..,7,29,21,19,..
"0126 Huddinge","spring wheat",11,12,..,..,12,8,..,..,..,..,2,..,..,..
"0126 Huddinge","rye",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0126 Huddinge","winter barley",..,..,..,..,..,..,1,..,..,..,..,..,..,..
"0126 Huddinge","barley",55,29,26,31,34,37,..,..,..,..,..,..,..,..
"0126 Huddinge","spring barley",..,..,..,..,..,..,19,38,56,48,25,40,43,20
"0126 Huddinge","oats",70,55,81,35,38,25,35,43,44,43,38,26,26,..
"0126 Huddinge","mixed grain and triticale",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0126 Huddinge","ley for hay and forage plants",..,..,..,..,..,..,247,242,268,..,..,..,..,..
"0126 Huddinge","triticale",..,..,..,..,..,..,..,..,..,..,4,..,..,7
"0126 Huddinge","mixed grain",..,2,..,..,..,..,..,..,..,..,..,..,..,..
"0126 Huddinge","field peas for cooking, fodder peas, vetches and field beans",1,3,..,..,..,..,..,..,..,..,..,..,..,..
"0126 Huddinge","green peas",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0126 Huddinge","white beans",..,..,..,..,..,..,..,..,..,..,..,..,..,..
